엑셀에서 SCV파일 만들기

파일의 내용

supplier Name	Invoice Numver	Part Number	Cost	Purchase Date
Suppiler X	001-1001	2341	500.00 	2018-01-20
Suppiler X	001-1001	2341	500.00 	2018-01-20
Suppiler X	001-1001	5467	750.00 	2018-01-20
Suppiler X	001-1001	5467	750.00 	2018-01-20
Suppiler Y	50-9501	7009	250.00 	2018-01-30
Suppiler Y	50-9501	7009	250.00 	2018-01-30
Suppiler Y	50-9505	6650	125.00 	2018-02-03
Suppiler Y	50-9505	6650	125.00 	2018-02-03
Suppiler Z	920-4803	3321	615.00 	2018-02-03
Suppiler Z	920-4804	3322	615.00 	2018-02-10
Suppiler Z	920-4805	3323	615.00 	2018-02-17
Suppiler Z	920-4806	3324	615.00 	2018-02-24
